sem_bge,comp_bge,exp_bge,form_bge,sem_v2,skills_raw,edu_gap,edu_domain_compat,exp_domain_ratio,label
0.823661,0.2083,0.5,0.5,0.823661,0.2083,0.0,1.0,0.3125,0.9092
0.781177,0.1667,0.5,0.5,0.781177,0.1667,0.0,1.0,0.25,0.483
0.868765,0.3333,0.5,0.5,0.868765,0.3333,0.0,1.0,0.5,0.9022
0.779731,0.3333,0.5,0.5,0.779731,0.3333,0.0,0.45,0.5,0.9341
0.786005,0.125,0.5,0.5,0.786005,0.125,0.0,1.0,0.1875,0.5848
0.790841,0.2083,0.5,0.5,0.790841,0.2083,0.0,1.0,0.3125,0.8184
0.801416,0.125,0.5,0.5,0.801416,0.125,0.0,1.0,0.1875,0.5289
0.900719,0.125,0.5,0.5,0.900719,0.125,0.0,0.45,0.1875,0.9581
0.846116,0.125,0.5,0.5,0.846116,0.125,0.0,1.0,0.1875,0.8463
0.80691,0.125,0.5,0.5,0.80691,0.125,0.0,1.0,0.1875,0.9092
0.819352,0.2917,0.5,0.5,0.819352,0.2917,0.0,1.0,0.4375,0.7275
0.817828,0.2917,0.5,0.5,0.817828,0.2917,0.0,1.0,0.4375,0.9581
0.83733,0.125,0.5,0.5,0.83733,0.125,0.0,1.0,0.1875,0.5739
0.839779,0.125,0.5,0.5,0.839779,0.125,0.0,0.45,0.1875,0.9511
0.812818,0.125,0.5,0.5,0.812818,0.125,0.0,1.0,0.1875,0.6437
0.8969,0.25,0.5,0.5,0.8969,0.25,0.0,1.0,0.375,0.9581
0.872785,0.2083,0.5,0.5,0.872785,0.2083,0.0,1.0,0.3125,0.7555
0.824325,0.2083,0.5,0.5,0.824325,0.2083,0.0,1.0,0.3125,0.8673
0.811744,0.25,0.5,0.5,0.811744,0.25,0.0,1.0,0.375,0.6786
0.852005,0.375,0.5,0.5,0.852005,0.375,0.0,1.0,0.5625,0.9581
0.818672,0.1667,0.5,0.5,0.818672,0.1667,0.0,1.0,0.25,0.7804
0.810756,0.1667,0.5,0.5,0.810756,0.1667,0.0,1.0,0.25,0.8603
0.821165,0.2917,0.5,0.5,0.821165,0.2917,0.0,1.0,0.4375,1.0
0.843172,0.4167,0.5,0.5,0.843172,0.4167,0.0,1.0,0.625,0.9092
0.759431,0.125,0.5,0.5,0.759431,0.125,0.0,1.0,0.1875,1.0
0.822338,0.25,0.5,0.5,0.822338,0.25,0.0,1.0,0.375,0.8533
0.791738,0.1667,0.5,0.5,0.791738,0.1667,0.0,1.0,0.25,0.6926
0.796298,0.0833,0.5,0.5,0.796298,0.0833,0.0,1.0,0.125,0.8253
0.822833,0.0833,0.5,0.5,0.822833,0.0833,0.0,1.0,0.125,0.5569
0.822101,0.0,0.5,0.5,0.822101,0.0,0.0,1.0,0.0,0.3713
0.815717,0.125,0.5,0.5,0.815717,0.125,0.0,1.0,0.1875,0.7625
0.872501,0.3333,0.5,0.5,0.872501,0.3333,0.0,1.0,0.5,1.0
0.781156,0.125,0.5,0.5,0.781156,0.125,0.0,1.0,0.1875,0.4381
0.795742,0.1667,0.5,0.5,0.795742,0.1667,0.0,1.0,0.25,0.8463
0.838659,0.2917,0.5,0.5,0.838659,0.2917,0.0,1.0,0.4375,0.8852
0.902198,0.3333,0.5,0.5,0.902198,0.3333,0.0,1.0,0.5,0.8603
0.84204,0.2083,0.5,0.5,0.84204,0.2083,0.0,1.0,0.3125,0.6507
0.821977,0.125,0.5,0.5,0.821977,0.125,0.0,1.0,0.1875,0.6407
0.825527,0.25,0.5,0.5,0.825527,0.25,0.0,1.0,0.375,0.9092
0.807678,0.0833,0.5,0.5,0.807678,0.0833,0.0,1.0,0.125,0.9581
0.834358,0.1143,0.5,0.5,0.834358,0.1143,0.0,1.0,0.1714,0.2188
0.829004,0.1143,0.5,0.5,0.829004,0.1143,0.0,1.0,0.1714,0.2412
0.821368,0.0857,0.5,0.5,0.821368,0.0857,0.0,1.0,0.1285,0.0825
0.827209,0.1429,0.5,0.5,0.827209,0.1429,0.0,1.0,0.2143,0.1894
0.832536,0.0571,0.5,0.5,0.832536,0.0571,0.0,1.0,0.0857,0.2342
0.815624,0.2286,0.5,0.5,0.815624,0.2286,0.0,1.0,0.3429,0.229
0.829677,0.2,0.5,0.5,0.829677,0.2,0.0,1.0,0.3,0.2342
0.798503,0.0571,0.5,0.5,0.798503,0.0571,0.0,1.0,0.0857,0.1907
0.797861,0.1429,0.5,0.5,0.797861,0.1429,0.0,1.0,0.2143,0.2342
0.806124,0.0857,0.5,0.5,0.806124,0.0857,0.0,1.0,0.1285,0.1248
0.814974,0.1714,0.5,0.5,0.814974,0.1714,0.0,1.0,0.2571,0.6148
0.764235,0.0571,0.5,0.5,0.764235,0.0571,0.0,1.0,0.0857,0.1363
0.739904,0.1429,0.5,0.5,0.739904,0.1429,0.0,1.0,0.2143,0.1401
0.807451,0.0857,0.5,0.5,0.807451,0.0857,0.0,1.0,0.1285,0.1759
0.799454,0.0571,0.5,0.5,0.799454,0.0571,0.0,1.0,0.0857,0.1523
0.815589,0.1429,0.5,0.5,0.815589,0.1429,0.0,1.0,0.2143,0.1401
0.799884,0.0857,0.5,0.5,0.799884,0.0857,0.0,1.0,0.1285,0.1184
0.83509,0.0857,0.5,0.5,0.83509,0.0857,0.0,1.0,0.1285,0.2476
0.812776,0.1429,0.5,0.5,0.812776,0.1429,0.0,1.0,0.2143,0.1676
0.804257,0.0857,0.5,0.5,0.804257,0.0857,0.0,1.0,0.1285,0.1446
0.779255,0.0286,0.5,0.5,0.779255,0.0286,0.0,1.0,0.0429,0.0934
0.832743,0.3143,0.5,0.5,0.832743,0.3143,0.0,1.0,0.4715,0.2905
0.798438,0.1429,0.5,0.5,0.798438,0.1429,0.0,1.0,0.2143,0.2035
0.793821,0.1429,0.5,0.5,0.793821,0.1429,0.0,1.0,0.2143,0.199
0.827789,0.0286,0.5,0.5,0.827789,0.0286,0.0,1.0,0.0429,0.1587
0.808884,0.0857,0.5,0.5,0.808884,0.0857,0.0,1.0,0.1285,0.1356
0.809899,0.0571,0.5,0.5,0.809899,0.0571,0.0,1.0,0.0857,0.1248
0.832113,0.0571,0.5,0.5,0.832113,0.0571,0.0,1.0,0.0857,0.1401
0.788537,0.1143,0.5,0.5,0.788537,0.1143,0.0,1.0,0.1714,0.1721
0.810657,0.0857,0.5,0.5,0.810657,0.0857,0.0,1.0,0.1285,0.167
0.827011,0.0286,0.5,0.5,0.827011,0.0286,0.0,1.0,0.0429,0.1651
0.829749,0.1429,0.5,0.5,0.829749,0.1429,0.0,1.0,0.2143,0.3218
0.827375,0.0571,0.5,0.5,0.827375,0.0571,0.0,1.0,0.0857,0.0672
0.82194,0.1714,0.5,0.5,0.82194,0.1714,0.0,1.0,0.2571,0.1625
0.802479,0.0286,0.5,0.5,0.802479,0.0286,0.0,1.0,0.0429,0.1401
0.836903,0.1714,0.5,0.5,0.836903,0.1714,0.0,1.0,0.2571,0.373
0.80335,0.1143,0.5,0.5,0.80335,0.1143,0.0,1.0,0.1714,0.2476
0.827985,0.0286,0.5,0.5,0.827985,0.0286,0.0,1.0,0.0429,0.3013
0.822821,0.0286,0.5,0.5,0.822821,0.0286,0.0,1.0,0.0429,0.1759
0.797587,0.1429,0.5,0.5,0.797587,0.1429,0.0,1.0,0.2143,0.1804
0.824688,0.0,0.5,0.5,0.824688,0.0,0.0,1.0,0.0,0.1702
0.836905,0.1714,0.5,0.5,0.836905,0.1714,0.0,1.0,0.2571,0.2924
0.843205,0.0286,0.5,0.5,0.843205,0.0286,0.0,1.0,0.0429,0.2028
0.764003,0.0571,0.5,0.5,0.764003,0.0571,0.0,1.0,0.0857,0.0518
0.819127,0.1429,0.5,0.5,0.819127,0.1429,0.0,1.0,0.2143,0.1715
0.826696,0.0571,0.5,0.5,0.826696,0.0571,0.0,1.0,0.0857,0.1273
0.787736,0.1143,0.5,0.5,0.787736,0.1143,0.0,1.0,0.1714,0.1894
0.811985,0.1143,0.5,0.5,0.811985,0.1143,0.0,1.0,0.1714,0.1657
0.789638,0.0857,0.5,0.5,0.789638,0.0857,0.0,1.0,0.1285,0.1267
0.751258,0.1429,0.5,0.5,0.751258,0.1429,0.0,1.0,0.2143,0.2342
0.803466,0.0,0.5,0.5,0.803466,0.0,0.0,1.0,0.0,0.183
0.796038,0.2857,0.5,0.5,0.796038,0.2857,0.0,1.0,0.4285,0.5118
0.818746,0.0286,0.5,0.5,0.818746,0.0286,0.0,1.0,0.0429,0.0704
0.816237,0.1143,0.5,0.5,0.816237,0.1143,0.0,1.0,0.1714,0.2163
0.780855,0.0571,0.5,0.5,0.780855,0.0571,0.0,1.0,0.0857,0.1759
0.780745,0.1429,0.5,0.5,0.780745,0.1429,0.0,1.0,0.2143,0.2834
0.834225,0.0571,0.5,0.5,0.834225,0.0571,0.0,1.0,0.0857,0.2028
0.823838,0.0857,0.5,0.5,0.823838,0.0857,0.0,1.0,0.1285,0.0653
0.779006,0.0857,0.5,0.5,0.779006,0.0857,0.0,1.0,0.1285,0.0921
0.834003,0.0571,0.5,0.5,0.834003,0.0571,0.0,1.0,0.0857,0.1164
0.755123,0.0857,0.5,0.5,0.755123,0.0857,0.0,1.0,0.1285,0.1721
0.820102,0.0857,0.5,0.5,0.820102,0.0857,0.0,1.0,0.1285,0.1132
0.792569,0.0571,0.5,0.5,0.792569,0.0571,0.0,1.0,0.0857,0.1587
0.792308,0.1143,0.5,0.5,0.792308,0.1143,0.0,1.0,0.1714,0.1625
0.787206,0.0857,0.5,0.5,0.787206,0.0857,0.0,1.0,0.1285,0.1401
0.798989,0.0857,0.5,0.5,0.798989,0.0857,0.0,1.0,0.1285,0.1075
0.844345,0.1714,0.5,0.5,0.844345,0.1714,0.0,1.0,0.2571,0.6148
0.799676,0.0286,0.5,0.5,0.799676,0.0286,0.0,1.0,0.0429,0.1472
0.802901,0.0857,0.5,0.5,0.802901,0.0857,0.0,0.45,0.1285,0.142
0.812373,0.0857,0.5,0.5,0.812373,0.0857,0.0,1.0,0.1285,0.2028
0.801296,0.0571,0.5,0.5,0.801296,0.0571,0.0,1.0,0.0857,0.0787
0.812845,0.0571,0.5,0.5,0.812845,0.0571,0.0,1.0,0.0857,0.1228
0.875747,0.2,0.5,0.5,0.875747,0.2,0.0,1.0,0.3,0.5387
0.763585,0.1714,0.5,0.5,0.763585,0.1714,0.0,1.0,0.2571,0.2009
0.844949,0.0286,0.5,0.5,0.844949,0.0286,0.0,1.0,0.0429,0.1401
0.847425,0.0286,0.5,0.5,0.847425,0.0286,0.0,1.0,0.0429,0.1228
0.845988,0.1429,0.5,0.5,0.845988,0.1429,0.0,1.0,0.2143,0.1875
0.813218,0.1714,0.5,0.5,0.813218,0.1714,0.0,1.0,0.2571,0.1401
0.80885,0.0857,0.5,0.5,0.80885,0.0857,0.0,1.0,0.1285,0.19
0.834156,0.0571,0.5,0.5,0.834156,0.0571,0.0,1.0,0.0857,0.2502
0.862186,0.0571,0.5,0.5,0.862186,0.0571,0.0,1.0,0.0857,0.1472
0.762706,0.0,0.5,0.5,0.762706,0.0,0.0,1.0,0.0,0.1875
0.793154,0.1714,0.5,0.5,0.793154,0.1714,0.0,1.0,0.2571,0.2745
0.752049,0.1714,0.5,0.5,0.752049,0.1714,0.0,0.8,0.2571,0.1721
0.821259,0.1429,0.5,0.5,0.821259,0.1429,0.0,1.0,0.2143,0.2207
0.863834,0.0286,0.5,0.5,0.863834,0.0286,0.0,1.0,0.0429,0.1472
0.84585,0.1714,0.5,0.5,0.84585,0.1714,0.0,1.0,0.2571,0.3282
0.837747,0.1429,0.5,0.5,0.837747,0.1429,0.0,1.0,0.2143,0.2342
0.802606,0.1714,0.5,0.5,0.802606,0.1714,0.0,1.0,0.2571,0.3039
0.866798,0.2,0.5,0.5,0.866798,0.2,0.0,1.0,0.3,0.6955
0.782917,0.2286,0.5,0.5,0.782917,0.2286,0.0,1.0,0.3429,0.3372
0.807117,0.1143,0.5,0.5,0.807117,0.1143,0.0,1.0,0.1714,0.2163
0.81599,0.0857,0.5,0.5,0.81599,0.0857,0.0,1.0,0.1285,0.2521
0.787305,0.1429,0.5,0.5,0.787305,0.1429,0.0,1.0,0.2143,0.2028
0.786668,0.0857,0.5,0.5,0.786668,0.0857,0.0,1.0,0.1285,0.1651
0.775878,0.0857,0.5,0.5,0.775878,0.0857,0.0,1.0,0.1285,0.1401
0.842057,0.1714,0.5,0.5,0.842057,0.1714,0.0,1.0,0.2571,0.3372
0.78297,0.0,0.5,0.5,0.78297,0.0,0.0,1.0,0.0,0.1248
0.800226,0.1429,0.5,0.5,0.800226,0.1429,0.0,1.0,0.2143,0.6686
0.818039,0.0857,0.5,0.5,0.818039,0.0857,0.0,1.0,0.1285,0.2009
0.818847,0.2286,0.5,0.5,0.818847,0.2286,0.0,1.0,0.3429,0.5298
0.840621,0.1429,0.5,0.5,0.840621,0.1429,0.0,0.45,0.2143,0.2655
0.813608,0.0857,0.5,0.5,0.813608,0.0857,0.0,1.0,0.1285,0.1267
0.761438,0.1714,0.5,0.5,0.761438,0.1714,0.0,1.0,0.2571,0.1113
0.840023,0.2571,0.5,0.5,0.840023,0.2571,0.0,1.0,0.3856,0.476
0.783177,0.1143,0.5,0.5,0.783177,0.1143,0.0,1.0,0.1714,0.0857
0.827111,0.0857,0.5,0.5,0.827111,0.0857,0.0,1.0,0.1285,0.1401
0.800879,0.087,0.5,0.5,0.800879,0.087,0.0,1.0,0.1305,0.6282
0.804935,0.2609,0.5,0.5,0.804935,0.2609,0.0,1.0,0.3914,0.7855
0.839412,0.1304,0.5,0.5,0.839412,0.1304,0.0,1.0,0.1956,0.6782
0.791103,0.1739,0.5,0.5,0.791103,0.1739,0.0,1.0,0.2609,0.4137
0.854877,0.087,0.5,0.5,0.854877,0.087,0.0,1.0,0.1305,0.3279
0.827467,0.087,0.5,0.5,0.827467,0.087,0.0,1.0,0.1305,0.7569
0.764243,0.1739,0.5,0.5,0.764243,0.1739,0.0,1.0,0.2609,0.7283
0.814964,0.2174,0.5,0.5,0.814964,0.2174,0.0,1.0,0.3261,0.8069
0.82862,0.087,0.5,0.5,0.82862,0.087,0.0,1.0,0.1305,0.7855
0.790746,0.1739,0.5,0.5,0.790746,0.1739,0.0,1.0,0.2609,0.621
0.828742,0.0435,0.5,0.5,0.828742,0.0435,0.0,0.8,0.0653,0.7855
0.825964,0.2174,0.5,0.5,0.825964,0.2174,0.0,1.0,0.3261,0.6782
0.815522,0.1739,0.5,0.5,0.815522,0.1739,0.0,1.0,0.2609,0.5781
0.862746,0.1739,0.5,0.5,0.862746,0.1739,0.0,1.0,0.2609,0.5781
0.874262,0.1739,0.5,0.5,0.874262,0.1739,0.0,0.45,0.2609,0.8498
0.84211,0.1304,0.5,0.5,0.84211,0.1304,0.0,1.0,0.1956,0.7712
0.819139,0.1739,0.5,0.5,0.819139,0.1739,0.0,1.0,0.2609,0.7783
0.803901,0.087,0.5,0.5,0.803901,0.087,0.0,1.0,0.1305,0.8355
0.793555,0.1304,0.5,0.5,0.793555,0.1304,0.0,1.0,0.1956,0.3003
0.849337,0.087,0.5,0.5,0.849337,0.087,0.0,1.0,0.1305,0.7998
0.784983,0.087,0.5,0.5,0.784983,0.087,0.0,1.0,0.1305,0.6568
0.80866,0.087,0.5,0.5,0.80866,0.087,0.0,1.0,0.1305,0.4137
0.815266,0.2609,0.5,0.5,0.815266,0.2609,0.0,1.0,0.3914,0.9213
0.801872,0.087,0.5,0.5,0.801872,0.087,0.0,1.0,0.1305,0.1931
0.882383,0.1739,0.5,0.5,0.882383,0.1739,0.0,1.0,0.2609,0.8784
0.818977,0.1739,0.5,0.5,0.818977,0.1739,0.0,0.8,0.2609,0.8284
0.802137,0.2174,0.5,0.5,0.802137,0.2174,0.0,1.0,0.3261,0.4709
0.836126,0.3043,0.5,0.5,0.836126,0.3043,0.0,1.0,0.4565,0.907
0.799065,0.2609,0.5,0.5,0.799065,0.2609,0.0,1.0,0.3914,0.6353
0.794497,0.1739,0.5,0.5,0.794497,0.1739,0.0,1.0,0.2609,0.4494
0.836686,0.087,0.5,0.5,0.836686,0.087,0.0,1.0,0.1305,0.8355
0.839951,0.1739,0.5,0.5,0.839951,0.1739,0.0,1.0,0.2609,0.3075
0.772114,0.1739,0.5,0.5,0.772114,0.1739,0.0,1.0,0.2609,0.3647
0.833443,0.2174,0.5,0.5,0.833443,0.2174,0.0,1.0,0.3261,0.857
0.857546,0.2174,0.5,0.5,0.857546,0.2174,0.0,1.0,0.3261,0.8713
0.79848,0.1304,0.5,0.5,0.79848,0.1304,0.0,1.0,0.1956,0.2707
0.833344,0.0435,0.5,0.5,0.833344,0.0435,0.0,1.0,0.0653,0.8355
0.770106,0.2174,0.5,0.5,0.770106,0.2174,0.0,1.0,0.3261,0.8212
0.802836,0.1739,0.5,0.5,0.802836,0.1739,0.0,1.0,0.2609,0.4566
0.777704,0.087,0.5,0.5,0.777704,0.087,0.0,0.8,0.1305,0.285
0.752524,0.087,0.5,0.5,0.752524,0.087,0.0,1.0,0.1305,0.5781
0.793165,0.1739,0.5,0.5,0.793165,0.1739,0.0,1.0,0.2609,0.7426
0.829254,0.2609,0.5,0.5,0.829254,0.2609,0.0,1.0,0.3914,0.8427
0.808933,0.0435,0.5,0.5,0.808933,0.0435,0.0,1.0,0.0653,0.6435
0.805785,0.0,0.5,0.5,0.805785,0.0,0.0,1.0,0.0,0.429
0.766715,0.1739,0.5,0.5,0.766715,0.1739,0.0,1.0,0.2609,0.8355
0.813687,0.1739,0.5,0.5,0.813687,0.1739,0.0,1.0,0.2609,0.8498
0.811587,0.087,0.5,0.5,0.811587,0.087,0.0,1.0,0.1305,0.5577
0.809083,0.1739,0.5,0.5,0.809083,0.1739,0.0,1.0,0.2609,0.2196
0.827455,0.1304,0.5,0.5,0.827455,0.1304,0.0,0.45,0.1956,0.6711
0.861749,0.1304,0.5,0.5,0.861749,0.1304,0.0,1.0,0.1956,0.5996
0.845097,0.1739,0.5,0.5,0.845097,0.1739,0.0,1.0,0.2609,0.3064
0.786578,0.1304,0.5,0.5,0.786578,0.1304,0.0,1.0,0.1956,0.6139
0.836569,0.2609,0.5,0.5,0.836569,0.2609,0.0,1.0,0.3914,0.7569
0.745628,0.087,0.5,0.5,0.745628,0.087,0.0,1.0,0.1305,0.0919
0.873583,0.087,0.5,0.5,0.873583,0.087,0.0,0.8,0.1305,0.9499
0.824162,0.2174,0.5,0.5,0.824162,0.2174,0.0,1.0,0.3261,0.8069
0.83061,0.1304,0.5,0.5,0.83061,0.1304,0.0,1.0,0.1956,0.857
0.763686,0.087,0.5,0.5,0.763686,0.087,0.0,1.0,0.1305,0.8641
0.822832,0.1739,0.5,0.5,0.822832,0.1739,0.0,1.0,0.2609,0.4852
0.818776,0.0435,0.5,0.5,0.818776,0.0435,0.0,1.0,0.0653,0.8284
0.856379,0.0435,0.5,0.5,0.856379,0.0435,0.0,1.0,0.0653,0.7712
0.800395,0.0,0.5,0.5,0.800395,0.0,0.0,1.0,0.0,0.5853
0.817586,0.2174,0.5,0.5,0.817586,0.2174,0.0,1.0,0.3261,0.7211
0.808039,0.1739,0.5,0.5,0.808039,0.1739,0.0,1.0,0.2609,0.7855
0.84008,0.1739,0.5,0.5,0.84008,0.1739,0.0,1.0,0.2609,0.9142
0.784628,0.1304,0.5,0.5,0.784628,0.1304,0.0,1.0,0.1956,0.6639
0.833925,0.2609,0.5,0.5,0.833925,0.2609,0.0,1.0,0.3914,0.621
0.839169,0.2174,0.5,0.5,0.839169,0.2174,0.0,1.0,0.3261,0.7426
0.836717,0.1304,0.5,0.5,0.836717,0.1304,0.0,1.0,0.1956,0.7068
0.81562,0.1304,0.5,0.5,0.81562,0.1304,0.0,1.0,0.1956,0.764
0.747715,0.2174,0.5,0.5,0.747715,0.2174,0.0,1.0,0.3261,0.3851
0.803827,0.087,0.5,0.5,0.803827,0.087,0.0,1.0,0.1305,0.6925
0.813527,0.1739,0.5,0.5,0.813527,0.1739,0.0,1.0,0.2609,0.764
0.770822,0.2609,0.5,0.5,0.770822,0.2609,0.0,1.0,0.3914,0.3422
0.784473,0.2609,0.5,0.5,0.784473,0.2609,0.0,1.0,0.3914,0.4065
0.819129,0.2609,0.5,0.5,0.819129,0.2609,0.0,1.0,0.3914,0.8141
0.836974,0.2609,0.5,0.5,0.836974,0.2609,0.0,1.0,0.3914,0.9642
0.811449,0.2609,0.5,0.5,0.811449,0.2609,0.0,1.0,0.3914,0.907
0.810209,0.2174,0.5,0.5,0.810209,0.2174,0.0,1.0,0.3261,0.8141
0.769211,0.1304,0.5,0.5,0.769211,0.1304,0.0,1.0,0.1956,0.4065
0.781818,0.087,0.5,0.5,0.781818,0.087,0.0,1.0,0.1305,0.5751
0.810332,0.087,0.5,0.5,0.810332,0.087,0.0,1.0,0.1305,0.7497
0.879979,0.1739,0.5,0.5,0.879979,0.1739,0.0,1.0,0.2609,0.8927
0.831237,0.3913,0.5,0.5,0.831237,0.3913,0.0,1.0,0.5869,0.8498
0.800384,0.3043,0.5,0.5,0.800384,0.3043,0.0,1.0,0.4565,0.5495
0.823667,0.2174,0.5,0.5,0.823667,0.2174,0.0,1.0,0.3261,0.907
0.883392,0.2609,0.5,0.5,0.883392,0.2609,0.0,1.0,0.3914,0.6997
0.785734,0.0435,0.5,0.5,0.785734,0.0435,0.0,1.0,0.0653,0.6507
